plot_id,rct_tile_best,rct_tree_id_best,rct_dbh_best,cstart,suitability
p09,1_0,14,0.171,,
p09,1_0,61,0.162,,
p09,1_0,280,0.161,,
p09,1_0,113,0.144,,
p09,1_0,173,0.141,,
p09,1_0,45,0.123,,
p09,1_0,219,0.103,,
p09,1_0,204,0.102,,
p09,1_0,79,0.144,,
p09,1_0,109,0.1,,
p09,1_0,62,0.357,3,good
p09,1_0,78,0.291,4.6,good
p09,1_0,166,0.257,4.5,good
p09,1_0,267,0.252,3.8,good
p09,1_0,58,0.234,3.9,good
p09,1_0,277,0.229,2.2,good
p09,1_0,167,0.221,3,good
p09,1_0,43,0.211,3.5,good
p09,1_0,16,0.206,4,good
p09,1_0,117,0.202,4.3,good
p09,1_0,134,0.2,5.1,good
p09,1_0,233,0.17,4.1,good
p09,1_0,31,0.168,4,good
p09,1_0,310,0.164,,
p09,1_0,24,0.152,4.1,good
p09,1_0,174,0.143,2,good
p09,1_0,215,0.135,2.3,good
p09,1_0,25,0.129,3.9,good
p09,1_0,67,0.093,,
p09,1_0,68,0.083,,
p09,1_0,69,0.078,,
p09,1_0,90,0.065,,
p09,1_0,52,0.062,,
p09,1_0,80,0.056,,
p09,1_0,7,0.055,,
p09,1_0,72,0.038,,
p09,1_1,66,0.212,,
p09,1_1,24,0.209,,
p09,1_1,24,0.209,,
p09,1_1,90,0.194,,
p09,1_1,87,0.221,,
p09,1_1,24,0.209,,
p09,1_1,90,0.194,,
p09,1_1,97,0.139,,
p09,1_1,210,0.115,,
p09,1_1,232,0.1,,
p09,1_1,69,0.366,3,good
p09,1_1,7,0.305,4,good
p09,1_1,77,0.292,2.2,good
p09,1_1,12,0.286,5.1,
p09,1_1,62,0.27,4,
p09,1_1,80,0.268,4,
p09,1_1,47,0.265,3.8,good
p09,1_1,58,0.259,4.4,good
p09,1_1,93,0.221,5.3,good
p09,1_1,66,0.212,4.3,good
p09,1_1,101,0.212,4.2,
p09,1_1,139,0.187,,
p09,1_1,208,0.172,3.8,good
p09,1_1,57,0.166,5.9,good
p09,1_1,32,0.157,4.1,
p09,1_1,91,0.139,4,good
p09,1_1,176,0.098,,
p09,1_1,202,0.066,,
p09,1_1,79,0.064,,
p09,1_1,82,0.048,,
p09,1_-1,44,0.212,,
p09,1_-1,59,0.169,,
p09,1_-1,94,0.116,,
p09,1_-1,22,0.323,3.9,good
p09,1_-1,93,0.062,,
p09,1_-1,33,0.037,,
p09,1_2,24,0.2,,
p09,1_2,21,0.168,4,good
p09,2_0,98,0.294,,
p09,2_0,115,0.108,,
p09,2_0,98,0.294,,
p09,2_0,9,0.196,,
p09,2_0,5,0.176,,
p09,2_0,30,0.144,,
p09,2_0,269,0.114,,
p09,2_0,115,0.108,,
p09,2_0,73,0.1,,
p09,2_0,81,0.576,3.5,good
p09,2_0,2,0.31,4.2,good
p09,2_0,15,0.303,5.8,good
p09,2_0,140,0.279,3.4,
p09,2_0,143,0.277,3.9,good
p09,2_0,132,0.217,4,
p09,2_0,74,0.174,4.2,good
p09,2_0,69,0.164,,
p09,2_0,213,0.112,5.3,
p09,2_0,27,0.102,,
p09,2_0,52,0.092,,
p09,2_0,88,0.079,,
p09,2_0,76,0.077,,
p09,2_0,226,0.042,,
p09,2_1,18,0.282,,
p09,2_1,113,0.256,,
p09,2_1,5,0.242,,
p09,2_1,48,0.23,,
p09,2_1,32,0.212,,
p09,2_1,182,0.208,,
p09,2_1,12,0.204,,
p09,2_1,92,0.366,,
p09,2_1,152,0.337,,
p09,2_1,44,0.262,,
p09,2_1,113,0.256,,
p09,2_1,87,0.254,,
p09,2_1,32,0.212,,
p09,2_1,180,0.212,,
p09,2_1,182,0.208,,
p09,2_1,12,0.204,,
p09,2_1,61,0.199,,
p09,2_1,164,0.176,,
p09,2_1,51,0.159,,
p09,2_1,4,0.154,,
p09,2_1,123,0.117,,
p09,2_1,124,0.101,,
p09,2_1,30,0.358,4,good
p09,2_1,16,0.3,5.2,good
p09,2_1,14,0.289,4.3,good
p09,2_1,18,0.282,6.2,good
p09,2_1,191,0.268,5.1,good
p09,2_1,54,0.255,5,good
p09,2_1,5,0.242,3.8,good
p09,2_1,48,0.23,5.3,good
p09,2_1,28,0.227,3,good
p09,2_1,13,0.226,3,good
p09,2_1,151,0.185,7.9,good
p09,2_1,59,0.073,,
p09,2_1,248,0.062,,
p09,2_1,248,0.062,,
p09,2_1,141,0.036,,
p09,2_-1,3,0.483,,
p09,2_-1,3,0.483,,
p09,2_-1,51,0.371,,
p09,2_-1,40,0.299,,
p09,2_-1,30,0.267,2.9,good
p09,2_-1,12,0.212,3,good
p09,2_-1,9,0.084,,
p09,2_-1,9,0.084,,
p09,2_-1,9,0.084,,
p09,2_-1,113,0.075,,
p09,3_0,31,0.234,,
p09,3_0,31,0.234,2,
p09,3_0,24,0.115,3,
p10,0_0,711,0.113,,
p10,0_0,218,0.169,,
p10,0_0,175,0.147,,
p10,0_0,118,0.122,,
p10,0_0,711,0.113,,
p10,0_0,555,0.1,,
p10,0_0,92,0.098,,
p10,0_0,355,0.093,,
p10,0_0,241,0.08,,
p10,0_0,241,0.08,,
p10,0_0,391,0.068,,
p10,0_0,391,0.068,,
p10,0_0,391,0.068,,
p10,0_0,91,0.064,,
p10,0_0,91,0.064,,
p10,0_0,91,0.064,,
p10,0_0,91,0.064,,
p10,0_0,237,0.06,,
p10,0_0,216,0.058,,
p10,0_0,216,0.058,,
p10,0_0,216,0.058,,
p10,0_0,62,0.054,,
p10,0_0,377,0.052,,
p10,0_0,377,0.052,,
p10,0_0,508,0.043,,
p10,0_0,508,0.043,,
p10,0_0,508,0.043,,
p10,0_0,666,0.036,,
p10,0_1,97,0.108,,
p10,0_1,97,0.108,,
p10,0_1,179,0.1,,
p10,0_1,179,0.1,,
p10,0_1,186,0.21,,
p10,0_1,137,0.179,,
