plot_id,census_tree_id,census_stem_id,census_species,census_x_rot_m,census_y_rot_m,census_dbh_m,t2t_matches,t2t_tree_id,rct_matches,rct_tile,rct_tree_id,t2t_tree_id_best,t2t_dbh_best,rct_tile_best,rct_tree_id_best,rct_dbh_best,,cstart,suitability
p02,155,155,Combretum collinum,24.53045762,47.76033906,0.118,0,[],9,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1', 'Tile_1_1']","[246, 250, 257, 21, 26, 27, 387, 388, 396]",,,0_1,257,0.136,,3.9,good
p02,212,212,Combretum collinum,-21.37299022,55.35793583,0.103,1,['0060_T1'],3,"['Tile_-1_1', 'Tile_0_1', 'Tile_0_1']","[139, 16, 275]",0060_T1,0.073,0_1,275,0.097,,,
p02,224,224,Terminalia sericea,-1.229443629,44.2778848,0.086,0,[],4,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[105, 129, 136, 407]",,,0_1,407,0.109,,,
p02,223,223,Combretum collinum,-4.363597955,40.81725239,0.092,0,[],1,['Tile_0_1'],[407],,,0_1,407,0.109,,,
p02,235,235,Combretum collinum,9.262250585,36.88080074,0.078,0,[],2,"['Tile_0_1', 'Tile_0_1']","[201, 469]",,,0_1,469,0.092,,,
p02,237,237,Combretum collinum,7.510598968,32.43691544,0.082,0,[],2,"['Tile_0_1', 'Tile_0_1']","[173, 469]",,,0_1,469,0.092,,,
p02,171,171,Terminalia brachystemma,11.32971082,49.09644678,0.059,0,[],2,"['Tile_0_1', 'Tile_0_1']","[171, 498]",,,0_1,498,0.049,,,
p02,172,172,Burkea africana,10.44017738,49.32366972,0.057,0,[],2,"['Tile_0_1', 'Tile_0_1']","[171, 498]",,,0_1,498,0.049,,,
p02,228,228,Terminalia brachystemma,8.820591183,48.12979345,0.057,0,[],2,"['Tile_0_1', 'Tile_0_1']","[171, 498]",,,0_1,498,0.049,,,
p02,230,230,Terminalia brachystemma,8.511344154,47.13743954,0.058,0,[],2,"['Tile_0_1', 'Tile_0_1']","[171, 498]",,,0_1,498,0.049,,,
p02,445,445,Terminalia brachystemma,14.99581977,49.10316485,0.055,0,[],1,['Tile_0_1'],[498],,,0_1,498,0.049,,,
p02,446,446,Combretum psidioides,14.03259067,45.42693176,0.053,0,[],1,['Tile_0_1'],[498],,,0_1,498,0.049,,,
p02,431,431,Combretum collinum,19.2700635,29.41845656,0.051,1,['0036_T0'],1,['Tile_0_1'],[542],0036_T0,0.059,0_1,542,0.07,,,
p02,153,154,Combretum collinum,18.39371608,62.01489985,0.099,0,[],4,"['Tile_0_1', 'Tile_0_1', 'Tile_0_1', 'Tile_0_1']","[236, 244, 570, 588]",,,0_1,570,0.09,,,
p02,128,128,Burkea africana,-21.05161663,105.7607365,0.314,2,"['0148_T1', '0148_T0']",2,"['Tile_0_2', 'Tile_0_2']","[58, 546]",0148_T0,0.328,0_2,58,0.224,,,
p02,129,129,Burkea africana,-18.74696346,105.1787797,0.341,2,"['0148_T1', '0148_T0']",2,"['Tile_0_2', 'Tile_0_2']","[58, 546]",0148_T1,0.324,0_2,58,0.224,,10,good
p02,85,85,Burkea africana,-17.2224016,115.1801851,0.477,1,['0161_T0'],1,['Tile_0_2'],[96],0161_T0,0.447,0_2,96,0.388,,7,good
p02,135,135,Combretum collinum,-13.97916836,91.89276713,0.078,0,[],2,"['Tile_0_2', 'Tile_0_2']","[136, 1276]",,,0_2,136,0.078,,,
p02,5,5,Julbernardia paniculata,-7.168913694,126.2574719,0.107,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2']","[168, 202, 955]",,,0_2,202,0.119,,,
p02,4,4,Combretum zeyheri,-3.833897352,126.4757973,0.082,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_3']","[168, 202, 98]",,,0_2,202,0.119,,,
p02,89,89,Philenoptera nelsii,1.077966379,105.0667223,0.085,1,['0150_T3'],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2']","[213, 243, 278]",0150_T3,0.121,0_2,243,0.097,,,
p02,93,93,Terminalia brachystemma,-1.302496679,89.50226609,0.051,0,[],1,['Tile_0_2'],[251],,,0_2,251,0.042,,,
p02,17,18,Diplorhynchus condylocarpon,0.576123342,123.0199881,0.059,0,[],2,"['Tile_0_2', 'Tile_0_3']","[258, 98]",,,0_2,258,0.05,,,
p02,14,14,Combretum collinum,1.843074046,120.7605112,0.05,0,[],1,['Tile_0_2'],[258],,,0_2,258,0.05,,,
p02,90,90,Burkea africana,4.38220052,104.8758381,0.262,1,['0150_T0'],1,['Tile_0_2'],[266],0150_T0,0.167,0_2,266,0.291,,,
p02,91,91,Burkea africana,4.335703564,102.8608101,0.324,1,['0150_T0'],1,['Tile_0_2'],[266],0150_T0,0.167,0_2,266,0.291,,7.6,good
p02,21,22,Combretum zeyheri,1.628376349,111.9938753,0.069,0,[],1,['Tile_0_2'],[268],,,0_2,268,0.082,,,
p02,13,13,Burkea africana,8.477532566,118.5801534,0.312,3,"['0174_T0', '0163_T0', '0175_T0']",1,['Tile_0_2'],[282],0174_T0,0.293,0_2,282,0.276,,,
p02,15,15,Burkea africana,1.843074046,120.7605112,0.269,2,"['0174_T2', '0163_T0']",1,['Tile_0_2'],[282],0174_T2,0.241,0_2,282,0.276,,,
p02,20,20,Burkea africana,4.34148744,115.542386,0.325,1,['0163_T0'],1,['Tile_0_2'],[282],0163_T0,0.315,0_2,282,0.276,,3.2,good
p02,374,374,Combretum collinum,6.594765541,108.8197646,0.063,0,[],2,"['Tile_0_2', 'Tile_0_2']","[278, 314]",,,0_2,314,0.044,,,
p02,145,145,Combretum collinum,6.602712593,76.79645378,0.093,0,[],2,"['Tile_0_2', 'Tile_0_2']","[296, 323]",,,0_2,323,0.113,,,
p02,146,146,Combretum collinum,6.706456995,76.38885459,0.077,0,[],2,"['Tile_0_2', 'Tile_0_2']","[296, 323]",,,0_2,323,0.113,,,
p02,406,406,Combretum collinum,12.21686217,123.5235746,0.05,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_3']","[333, 358, 131]",,,0_2,333,0.039,,,
p02,42,42,Guibourtia coleosperma,14.26848195,96.5125888,0.081,0,[],2,"['Tile_0_2', 'Tile_0_2']","[343, 1208]",,,0_2,343,0.097,,,
p02,31,31,Combretum collinum,9.790766022,101.9597587,0.067,0,[],1,['Tile_0_2'],[343],,,0_2,343,0.097,,,
p02,27,28,Combretum collinum,17.63937281,117.641706,0.052,0,[],2,"['Tile_0_2', 'Tile_0_2']","[347, 358]",,,0_2,347,0.058,,,
p02,24,24,Burkea africana,14.64494685,119.7095342,0.228,4,"['0175_T1', '0175_T2', '0175_T0', '0164_T0']",2,"['Tile_0_2', 'Tile_0_2']","[367, 380]",0175_T2,0.286,0_2,367,0.327,,,
p02,26,26,Burkea africana,17.61346872,121.3581329,0.293,2,"['0175_T1', '0175_T2']",2,"['Tile_0_2', 'Tile_0_3']","[367, 459]",0175_T1,0.282,0_2,367,0.327,,,
p02,12,12,Burkea africana,11.57643638,120.8249908,0.329,3,"['0174_T0', '0175_T2', '0175_T0']",1,['Tile_0_2'],[367],0175_T0,0.32,0_2,367,0.327,,,
p02,25,25,Combretum zeyheri,16.87767399,119.795729,0.078,0,[],4,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2', 'Tile_0_2']","[338, 347, 358, 370]",,,0_2,370,0.078,,,
p02,27,27,Combretum collinum,17.66752152,117.4636396,0.083,0,[],4,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2', 'Tile_0_2']","[347, 358, 370, 380]",,,0_2,370,0.078,,,
p02,33,33,Philenoptera nelsii,19.2203206,106.042111,0.093,0,[],2,"['Tile_0_2', 'Tile_0_2']","[378, 383]",,,0_2,378,0.082,,,
p02,102,102,Philenoptera nelsii,21.11271815,86.43295931,0.282,1,['0120_T1'],1,['Tile_0_2'],[382],0120_T1,0.238,0_2,382,0.231,,5,good
p02,38,38,Combretum collinum,20.0077852,101.7356624,0.065,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_0_2']","[383, 395, 1227]",,,0_2,383,0.092,,,
p02,36,36,Terminalia brachystemma,22.00255194,104.4995195,0.085,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_1_2']","[378, 383, 9]",,,0_2,383,0.092,,,
p02,408,408,Combretum collinum,20.87491189,101.8278107,0.069,0,[],3,"['Tile_0_2', 'Tile_0_2', 'Tile_1_2']","[383, 395, 9]",,,0_2,383,0.092,,,
p02,44,44,Combretum collinum,22.91932833,95.53829069,0.054,0,[],1,['Tile_0_2'],[387],,,0_2,387,0.047,,,
p02,39,40,Julbernardia paniculata,20.94114812,97.53651566,0.369,3,"['0136_T0', '0137_T0', '0137_T1']",2,"['Tile_0_2', 'Tile_0_2']","[389, 1216]",0136_T0,0.37,0_2,389,0.314,,5,good
p02,34,34,Combretum apiculatum,22.95852789,109.2163521,0.097,0,[],2,"['Tile_0_2', 'Tile_0_2']","[378, 408]",,,0_2,408,0.059,,,
p02,424,424,Terminalia brachystemma,-14.60778889,114.0407114,0.052,0,[],2,"['Tile_0_2', 'Tile_0_2']","[53, 608]",,,0_2,608,0.049,,,
p02,142,142,Combretum collinum,-8.193702495,75.4374098,0.075,0,[],2,"['Tile_0_2', 'Tile_0_2']","[193, 852]",,,0_2,852,0.102,,,
p02,143,143,Combretum collinum,-8.331898745,74.99718055,0.068,0,[],2,"['Tile_0_2', 'Tile_0_2']","[193, 852]",,,0_2,852,0.102,,,
p02,7,7,Burkea africana,-0.452642508,122.9556388,0.279,2,"['0174_T1', '0174_T2']",1,['Tile_0_2'],[955],0174_T2,0.241,0_2,955,0.16,,,
